,0,1,2,3,4,5,6,7,8,9,10,11,AIC,BIC
128,0,0,0,0,1,0,0,0,0,0,0,0,39.53984923,70.17706398
192,0,0,0,0,1,1,0,0,0,0,0,0,37.99067724,70.98460081
704,0,0,1,0,1,1,0,0,0,0,0,0,36.54259635,71.89322875
384,0,0,0,1,1,0,0,0,0,0,0,0,38.90234648,71.89627006
194,0,0,0,0,1,1,0,0,0,0,1,0,36.75532629,72.10595869
1216,0,1,0,0,1,1,0,0,0,0,0,0,36.85536118,72.20599358
1152,0,1,0,0,1,0,0,0,0,0,0,0,39.27687217,72.27079575
2176,1,0,0,0,1,0,0,0,0,0,0,0,39.31529105,72.30921463
448,0,0,0,1,1,1,0,0,0,0,0,0,36.98455997,72.33519237
2240,1,0,0,0,1,1,0,0,0,0,0,0,37.06685081,72.41748321
640,0,0,1,0,1,0,0,0,0,0,0,0,39.49288601,72.48680959
130,0,0,0,0,1,0,0,0,0,0,1,0,39.53252526,72.52644883
129,0,0,0,0,1,0,0,0,0,0,0,1,39.77963801,72.77356158
641,0,0,1,0,1,0,0,0,0,0,0,1,38.46426287,73.81489527
131,0,0,0,0,1,0,0,0,0,0,1,1,38.55447323,73.90510563
132,0,0,0,0,1,0,0,0,0,1,0,0,41.05623535,74.05015892
1153,0,1,0,0,1,0,0,0,0,0,0,1,38.81430813,74.16494053
137,0,0,0,0,1,0,0,0,1,0,0,1,38.86174253,74.21237493
385,0,0,0,1,1,0,0,0,0,0,0,1,38.97057706,74.32120946
2177,1,0,0,0,1,0,0,0,0,0,0,1,39.06560425,74.41623665
160,0,0,0,0,1,0,1,0,0,0,0,0,41.53979384,74.53371742
136,0,0,0,0,1,0,0,0,1,0,0,0,41.54072386,74.53464744
144,0,0,0,0,1,0,0,1,0,0,0,0,41.54510599,74.53902956
133,0,0,0,0,1,0,0,0,0,1,0,1,39.26115046,74.61178286
16,0,0,0,0,0,0,0,1,0,0,0,0,44.17555198,74.81276673
32,0,0,0,0,0,0,1,0,0,0,0,0,44.32774149,74.96495624
2048,1,0,0,0,0,0,0,0,0,0,0,0,44.41969737,75.05691212
196,0,0,0,0,1,1,0,0,0,1,0,0,39.7824629,75.1330953
200,0,0,0,0,1,1,0,0,1,0,0,0,39.94787498,75.29850738
