,0,1,2,3,4,5,6,7,8,9,10,AIC,BIC
64,0,0,0,0,1,0,0,0,0,0,0,37.22036453,65.50087045
96,0,0,0,0,1,1,0,0,0,0,0,35.99175067,66.62896542
608,0,1,0,0,1,1,0,0,0,0,0,34.86085497,67.85477855
352,0,0,1,0,1,1,0,0,0,0,0,34.96752973,67.9614533
224,0,0,0,1,1,1,0,0,0,0,0,34.98779758,67.98172116
1088,1,0,0,0,1,0,0,0,0,0,0,37.37337123,68.01058597
192,0,0,0,1,1,0,0,0,0,0,0,37.38692565,68.02414039
1120,1,0,0,0,1,1,0,0,0,0,0,35.07958814,68.07351171
576,0,1,0,0,1,0,0,0,0,0,0,37.51007157,68.14728631
320,0,0,1,0,1,0,0,0,0,0,0,37.58673018,68.22394493
65,0,0,0,0,1,0,0,0,0,0,1,37.78040513,68.41761987
68,0,0,0,0,1,0,0,0,1,0,0,39.05074851,69.68796326
321,0,0,1,0,1,0,0,0,0,0,1,36.7519763,69.74589988
577,0,1,0,0,1,0,0,0,0,0,1,36.80219535,69.79611893
66,0,0,0,0,1,0,0,0,0,1,0,39.22134072,69.85855547
69,0,0,0,0,1,0,0,0,1,0,1,36.90740253,69.9013261
193,0,0,0,1,1,0,0,0,0,0,1,36.97449556,69.96841914
1089,1,0,0,0,1,0,0,0,0,0,1,37.08239715,70.07632072
72,0,0,0,0,1,0,0,1,0,0,0,39.5975813,70.23479605
80,0,0,0,0,1,0,1,0,0,0,0,39.60329203,70.24050677
67,0,0,0,0,1,0,0,0,0,1,1,37.46175278,70.45567636
1026,1,0,0,0,0,0,0,0,0,1,0,39.91510831,70.55232305
130,0,0,0,1,0,0,0,0,0,1,0,40.04993395,70.6871487
197,0,0,0,1,1,0,0,0,1,0,1,35.51382937,70.86446177
98,0,0,0,0,1,1,0,0,0,1,0,37.9427461,70.93666967
100,0,0,0,0,1,1,0,0,1,0,0,37.9481573,70.94208087
97,0,0,0,0,1,1,0,0,0,0,1,37.95916866,70.95309223
104,0,0,0,0,1,1,0,1,0,0,0,37.97275882,70.9666824
112,0,0,0,0,1,1,1,0,0,0,0,38.01285077,71.00677434
81,0,0,0,0,1,0,1,0,0,0,1,38.04267131,71.03659488
1024,1,0,0,0,0,0,0,0,0,0,0,42.87135318,71.1518591
196,0,0,0,1,1,0,0,0,1,0,0,38.34230394,71.33622752
73,0,0,0,0,1,0,0,1,0,0,1,38.39409645,71.38802002
4,0,0,0,0,0,0,0,0,1,0,0,43.13630237,71.41680829
128,0,0,0,1,0,0,0,0,0,0,0,43.21107432,71.49158024
1040,1,0,0,0,0,0,1,0,0,0,0,40.92093099,71.55814574
136,0,0,0,1,0,0,0,1,0,0,0,40.9216434,71.55885815
528,0,1,0,0,0,0,1,0,0,0,0,40.99992943,71.63714417
581,0,1,0,0,1,0,0,0,1,0,1,36.41405477,71.76468717
1344,1,0,1,0,1,0,0,0,0,0,0,38.77117128,71.76509485
579,0,1,0,0,1,0,0,0,0,1,1,36.44723265,71.79786505
264,0,0,1,0,0,0,0,1,0,0,0,41.21981395,71.85702869
512,0,1,0,0,0,0,0,0,0,0,0,43.64643435,71.92694027
144,0,0,0,1,0,0,1,0,0,0,0,41.29445068,71.93166543
1091,1,0,0,0,1,0,0,0,0,1,1,36.61395877,71.96459117
609,0,1,0,0,1,1,0,0,0,0,1,36.6731546,72.023787
578,0,1,0,0,1,0,0,0,0,1,0,39.07256863,72.0664922
225,0,0,0,1,1,1,0,0,0,0,1,36.7241929,72.0748253
325,0,0,1,0,1,0,0,0,1,0,1,36.76052104,72.11115344
