,0,1,2,3,4,5,6,7,8,9,AIC,BIC
32,0,0,0,0,1,0,0,0,0,0,35.60831322,61.53211031
48,0,0,0,0,1,1,0,0,0,0,33.99053178,62.2710377
160,0,0,1,0,1,0,0,0,0,0,34.96925858,63.2497645
96,0,0,0,1,1,0,0,0,0,0,35.07744864,63.35795456
304,0,1,0,0,1,1,0,0,0,0,32.86457073,63.50178547
112,0,0,0,1,1,1,0,0,0,0,32.98475529,63.62197004
176,0,0,1,0,1,1,0,0,0,0,32.98707946,63.62429421
544,1,0,0,0,1,0,0,0,0,0,35.41477042,63.69527634
560,1,0,0,0,1,1,0,0,0,0,33.06375987,63.70097462
288,0,1,0,0,1,0,0,0,0,0,35.50203284,63.78253876
33,0,0,0,0,1,0,0,0,0,1,37.40278661,65.68329253
36,0,0,0,0,1,0,0,1,0,0,37.59906312,65.87956904
34,0,0,0,0,1,0,0,0,1,0,37.60133271,65.88183863
40,0,0,0,0,1,0,1,0,0,0,37.60694091,65.88744683
49,0,0,0,0,1,1,0,0,0,1,35.94332856,66.58054331
50,0,0,0,0,1,1,0,0,1,0,35.94762493,66.58483967
56,0,0,0,0,1,1,1,0,0,0,35.97733447,66.61454922
52,0,0,0,0,1,1,0,1,0,0,35.98298387,66.62019862
512,1,0,0,0,0,0,0,0,0,0,40.87429903,66.79809612
64,0,0,0,1,0,0,0,0,0,0,41.21110471,67.13490181
672,1,0,1,0,1,0,0,0,0,0,36.77405682,67.41127157
98,0,0,0,1,1,0,0,0,1,0,36.90236609,67.53958083
161,0,0,1,0,1,0,0,0,0,1,36.906443,67.54365775
256,0,1,0,0,0,0,0,0,0,0,41.64612944,67.56992653
416,0,1,1,0,1,0,0,0,0,0,36.97618797,67.61340272
800,1,1,0,0,1,0,0,0,0,0,37.08371504,67.72092979
546,1,0,0,0,1,0,0,0,1,0,37.09013469,67.72734944
432,0,1,1,0,1,1,0,0,0,0,34.77779496,67.77171854
352,0,1,0,1,1,0,0,0,0,0,37.1358181,67.77303285
292,0,1,0,0,1,0,0,1,0,0,37.13865715,67.77587189
178,0,0,1,0,1,1,0,0,1,0,34.79212512,67.7860487
240,0,0,1,1,1,1,0,0,0,0,34.79807228,67.79199585
608,1,0,0,1,1,0,0,0,0,0,37.1616494,67.79886414
688,1,0,1,0,1,1,0,0,0,0,34.80508886,67.79901243
624,1,0,0,1,1,1,0,0,0,0,34.85698011,67.85090368
