,time,V mean,IFN mean,MCP1 Mean,Macr Mean,V std,IFN std,MCP1 std,Macr std
0,0,6.819797496,0,6.907867704,6.767374329,0.48254318,0.314408762,0.295042339,0.175189045
1,0.125,6.382042679,0.260071965,7.420355173,,0.46752545,0.314408762,0.049365394,
2,0.25,7.852100834,0.880691356,7.363711988,,0.217746996,0.314408762,0.325864485,
3,0.375,8.572001115,1.610274904,6.994630652,,0.144364737,0.314408762,0.098858538,
4,0.5,9.192497267,1.244287672,7.011042685,,0.264505434,0.314408762,0.258025441,
5,0.75,10.03345685,4.958409179,7.052957107,,0.718836444,0.314408762,0.405465199,
6,1,10.35936472,6.652818414,7.543794445,6.808062265,0.10427017,0.314408762,0.156271639,0.107111454
7,1.25,10.57746459,7.276961931,8.004671798,,1.014990814,0.314408762,0.51763097,
8,1.5,10.31217125,6.899645547,9.371555734,,0.266042564,0.314408762,0.634376337,
9,2,9.232990001,7.723633668,9.873921236,7.048785279,0.503460108,0.314408762,0.334991962,0.066088258
10,2.5,9.751757502,7.126168574,9.667457241,,0.181928616,0.314408762,0.249876107,
11,3,9.051778679,7.345539215,9.087543555,6.907446473,0.980782335,0.314408762,0.189774367,0.166549887
12,5,8.88009421,6.610806415,8.445759899,,0.546739846,0.314408762,0.711329886,
