,Time,V mean,IFN mean,MCP1 Mean,Macro Mean,V std,IFN std,MCP1 std,Macr std
0,0,7.103210056,0,6.897629761,6.767374329,1.04541425,1.045414253,0.351394744,0.175189045
1,0.125,6.700123515,4.149338642,6.877672785,,0.19600504,0.196005036,0.112645319,
2,0.25,8.520922848,4.472707791,7.006167876,,0.23353234,0.233532344,0.348657153,
3,0.375,9.405827981,5.492583237,6.997085984,,0.10895633,0.108956329,0.142504164,
4,0.5,10.27643459,5.155641883,7.754908155,,0.38236939,0.382369388,0.886546131,
5,0.75,11.71454641,8.615828508,11.15165099,,0.32341195,0.323411951,1.60010775,
6,1,12.0966782,10.55555179,11.45925399,6.994268816,0.0893062,0.089306197,1.135756023,0.245758284
7,1.25,12.33548868,11.40175057,12.75996744,,0.16712809,0.16712809,0.21150943,
8,1.5,12.3381175,10.8892111,11.88431169,,0.2097026,0.209702599,1.084017732,
9,2,12.29773558,11.3081029,13.12284977,7.745296839,0.06570143,0.065701432,0.351468916,0.086980677
10,2.5,12.19739225,11.01329804,12.89129795,,0.18311558,0.183115577,0.403276721,
11,3,11.95950727,11.28806437,13.88324785,7.952843102,0.11713038,0.117130376,0.375358193,0.10655126
12,5,10.55674862,10.53979637,13.29219733,,0.69487371,0.694873715,0.28735347,
