,time,V Mean,IFN mean,MCP1 Mean
0,0,5.82227E-06,0,119.2321725
1,0.125,2.30147E-06,4.149338642,117.5941747
2,0.25,0.000152337,4.472707791,128.5484029
3,0.375,0.00116872,5.492583237,127.7417212
4,0.5,0.008675951,5.155641883,216.0030922
5,0.75,0.237918882,8.615828508,2275.000252
6,1,0.573536022,10.55555179,2815.653308
7,1.25,0.993965201,11.40175057,6936.381051
8,1.5,1,10.8892111,3780.369899
9,2,0.911209166,11.3081029,8920.134634
10,2.5,0.723227198,11.01329804,7597.441522
11,3,0.418205529,11.28806437,15110.33316
12,5,0.016543642,10.53979637,10031.13568
