Time,Virus,IFN,MCP1,Macrophage
0,1.04541425,1.045414253,0.351394744,0.175189045
0.125,0.19600504,0.196005036,0.112645319,
0.25,0.23353234,0.233532344,0.348657153,
0.375,0.10895633,0.108956329,0.142504164,
0.5,0.38236939,0.382369388,0.886546131,
0.75,0.32341195,0.323411951,1.60010775,
1,0.0893062,0.089306197,1.135756023,0.245758284
1.25,0.16712809,0.16712809,0.21150943,
1.5,0.2097026,0.209702599,1.084017732,
2,0.06570143,0.065701432,0.351468916,0.086980677
2.5,0.18311558,0.183115577,0.403276721,
3,0.11713038,0.117130376,0.375358193,0.10655126
5,0.69487371,0.694873715,0.28735347,
