,0,1,2,3,4,5,6,7,8,9,10,11,BIC
0,1,1,0,0,0,1,1,1,0,1,1,0,82.79596165047305
1,1,1,1,1,0,0,1,0,0,1,1,1,87.17122041878156
2,1,1,1,0,0,1,1,1,1,0,1,0,87.14567638348281
3,0,0,1,1,1,0,0,0,0,0,1,0,69.87259182186143
4,1,0,1,1,0,1,1,1,0,0,0,0,78.51178015444579
5,0,0,0,0,0,0,1,0,0,0,1,0,62.99285844216516
6,1,0,1,1,0,1,0,0,1,1,0,0,78.56917189029794
7,1,1,0,0,1,1,0,0,1,1,1,0,82.78399270104863
8,1,0,0,0,1,1,1,1,0,1,1,1,87.16516141295149
9,0,0,1,0,0,0,1,0,0,1,1,0,69.95953275903281
10,0,1,0,1,1,1,0,1,0,1,1,0,82.84708002493598
11,0,1,0,0,0,1,0,1,0,1,1,1,78.42731744216388
12,1,1,0,0,1,1,0,1,0,1,1,0,82.83196812014161
13,1,1,1,1,0,0,1,1,1,1,0,1,91.54621813847469
14,1,0,1,0,0,1,0,1,0,0,1,1,78.70708943403318
15,1,1,1,0,1,1,0,1,1,0,0,1,87.14433930126503
16,1,0,0,1,1,0,0,1,1,1,0,0,78.76122165563056
17,0,1,0,0,1,0,1,0,1,0,1,0,74.07520208134443
18,0,0,1,1,0,0,0,0,0,1,1,1,74.30647219882243
19,0,0,0,1,1,1,0,1,0,1,0,1,79.8138308806454
20,1,0,1,1,1,1,0,0,1,1,1,1,91.5329932558374
21,1,0,1,0,0,1,0,1,0,1,0,1,78.63314213490533
22,1,1,0,1,1,0,0,0,1,1,1,1,87.13867850037902
23,1,0,0,0,0,0,1,1,1,0,0,1,76.10772303834669
24,0,1,0,0,0,1,1,0,1,0,1,1,78.43080866504162
25,0,0,0,0,1,1,0,0,1,1,0,1,87.6416019102538
26,1,0,1,0,1,1,0,1,1,0,1,1,87.37001314299982
27,0,0,0,1,1,0,0,1,0,1,1,0,74.21418722419658
28,0,0,1,0,0,0,0,0,1,1,1,1,74.50071751265637
29,0,0,0,0,0,1,1,1,1,1,0,1,80.95670740979942
30,0,0,1,1,0,1,1,0,1,0,0,0,74.2300568000017
31,0,0,1,0,0,0,0,0,1,1,0,0,77.41244272180792
32,0,0,0,0,0,0,0,1,1,1,1,0,69.99578358569224
33,1,1,1,1,0,1,0,1,1,0,1,0,87.13918640682803
34,1,0,0,1,0,1,1,1,1,1,0,0,83.14231726058496
35,1,1,0,1,0,0,0,0,0,0,1,1,74.0678263668071
36,0,1,0,1,1,0,1,1,1,0,1,1,87.17122459595939
37,1,1,1,1,1,0,0,1,0,0,1,0,82.80053733448737
38,0,1,0,0,1,0,1,0,1,1,1,1,82.7857374930007
39,1,0,0,1,1,0,0,1,0,0,1,1,78.59037782268089
40,0,0,1,1,1,1,0,1,0,0,0,0,74.20699352971674
41,0,1,0,1,0,0,0,1,0,1,0,0,69.71750117854158
42,0,0,1,0,1,1,0,0,0,1,0,1,87.8466486613443
43,0,0,1,0,0,0,1,1,1,0,0,0,72.03415338715942
44,1,1,1,1,0,0,0,0,0,1,1,1,82.7813156360632
45,0,0,0,0,1,0,1,1,0,0,0,1,72.09347427000291
46,1,1,1,1,1,1,0,1,0,0,1,0,87.1474984540955
47,1,0,1,1,0,0,1,0,0,1,1,0,78.47948360031687
48,1,0,0,0,1,0,0,1,0,0,0,0,67.39927872354374
49,1,0,0,0,1,1,0,0,0,1,1,1,78.4802045570678
50,0,1,0,0,1,1,1,1,1,0,0,1,82.8052879183235
51,0,0,1,1,0,0,1,0,1,0,0,1,74.2723527843272
52,1,1,1,0,1,0,1,0,1,1,1,1,91.50120468354615
53,0,0,0,0,1,1,0,1,0,1,0,0,72.10649703274711
54,0,0,1,1,0,1,1,1,1,1,1,1,91.62537489250495
55,1,0,1,1,0,1,1,1,0,0,1,1,87.19400429399725
56,1,0,0,0,0,1,1,0,1,1,1,0,78.46399080927876
57,1,0,1,0,0,0,1,0,1,0,0,1,74.35681095262774
58,1,0,0,0,1,1,0,0,0,1,0,0,72.09029056783412
59,0,1,0,0,0,0,0,1,0,1,1,1,74.06997160186843
60,1,0,1,1,0,1,0,1,1,1,0,0,82.83219413682002
61,1,1,1,1,0,0,0,1,1,0,0,0,78.44237390035377
62,0,0,0,0,1,0,1,1,0,1,0,0,72.04696033368499
63,0,0,1,1,0,0,0,0,0,1,1,0,69.80907988013146
64,1,1,0,1,1,1,1,1,0,1,1,0,91.50450212249356
65,1,1,0,0,1,1,1,0,0,0,0,0,74.08125819003875
66,1,0,0,0,1,1,1,0,0,0,1,0,74.67128178206451
67,0,0,1,0,0,1,0,0,1,1,0,0,81.64636589473626
68,1,0,1,1,1,1,0,0,1,0,1,0,82.84831033157845
69,0,1,0,0,0,0,0,1,1,1,0,0,69.71263171243143
70,0,0,0,0,0,1,1,1,0,1,1,0,74.50927147628408
71,1,0,1,1,1,1,0,0,0,1,0,1,82.8690307529137
72,1,0,0,1,1,1,1,0,1,0,1,0,82.9165307402065
73,1,1,0,0,1,0,1,1,0,1,0,1,82.7921908185368
74,1,0,0,1,0,0,1,1,1,1,1,0,82.79150190152797
75,0,0,1,1,1,1,0,1,0,1,1,0,82.88241690093137
76,1,0,1,1,0,0,0,1,0,1,0,1,78.47022540271044
77,0,0,0,0,1,1,0,1,1,0,1,0,74.80895199631796
78,1,0,1,0,0,1,0,1,0,1,0,0,74.35320750241615
79,0,0,0,1,1,0,1,0,1,1,0,0,75.42968580242186
80,0,1,1,1,1,0,1,1,1,0,1,0,87.14314239548071
81,1,1,0,1,0,1,0,1,0,1,0,1,82.79087055200183
82,1,0,0,1,0,1,1,1,0,0,0,1,78.84343587734354
83,0,1,0,1,1,0,1,0,0,0,0,0,69.71089766766453
84,0,1,1,1,0,0,0,0,0,0,0,0,65.35891291995812
85,0,1,0,1,0,0,1,1,1,0,0,0,74.08678680141448
86,0,1,0,0,1,0,1,1,0,0,0,1,74.07554275638356
87,0,1,1,1,0,0,1,1,0,0,0,1,78.42984657912983
88,0,0,1,0,0,0,0,1,0,1,0,1,72.17610081450947
89,1,0,1,1,1,0,0,1,1,1,1,0,87.17574000857454
90,0,1,0,0,0,0,0,1,0,0,1,0,65.35504656938146
91,1,0,0,1,1,1,0,1,1,0,0,1,83.11714923439064
92,0,1,0,1,0,1,1,1,1,0,0,0,78.443739645409
93,1,0,1,0,1,1,0,1,0,0,1,1,83.02918680328233
94,1,1,1,0,1,1,0,1,1,1,1,0,91.50857402678093
95,1,0,0,1,1,0,0,0,0,0,1,0,69.8680482169444
96,0,0,0,1,0,0,1,1,0,0,0,1,71.1008026481526
97,1,0,0,1,1,0,1,1,0,0,1,0,78.59593478168047
98,1,1,0,1,0,0,1,0,1,0,0,1,78.4325655539513
99,1,0,0,0,0,0,0,1,0,1,0,1,71.76586457738017
100,0,0,0,0,1,1,1,1,1,0,0,0,76.41751986834318
101,0,1,0,0,1,1,0,0,1,1,1,1,82.84464509989971
102,0,1,1,0,0,0,1,1,1,1,1,1,87.13643320334324
103,1,1,1,1,0,0,1,0,1,0,1,0,82.7954197823048
104,1,1,0,0,1,1,0,0,0,0,0,0,69.71141867885763
105,0,1,1,1,0,1,1,1,1,1,0,0,87.14093185357467
106,1,1,0,0,0,0,1,0,1,1,1,1,82.81997833641898
107,1,1,1,1,1,0,0,0,1,1,1,0,87.14116301194875
108,1,0,1,1,1,0,0,0,0,0,0,1,74.11263894968135
109,0,1,1,0,1,1,1,0,1,0,1,1,87.14922134344279
110,1,1,0,0,0,0,0,0,1,1,0,0,69.71052864628327
111,0,1,0,1,1,0,1,0,1,1,0,0,78.4597190116025
