,0,1,2,3,4,5,6,7,8,9,10,11,BIC
0,0,1,0,0,1,1,0,0,1,1,1,0,78.43374247932805
1,1,0,0,1,0,1,1,0,0,1,1,1,82.9512815176052
2,0,0,0,0,0,1,1,0,1,1,0,1,78.5497138808299
3,1,1,0,1,1,1,0,1,0,1,1,1,91.53092967586602
4,1,1,0,0,0,0,0,0,1,0,0,1,69.78639474976262
5,0,1,1,1,0,0,0,0,1,1,1,0,78.4578589164399
6,1,1,1,1,1,1,0,0,1,0,1,0,87.17528109332589
7,1,0,1,0,0,1,0,0,1,0,0,1,74.18385519306769
8,1,1,1,1,1,1,1,1,0,0,1,0,91.54889666370492
9,0,0,0,0,0,0,1,0,1,1,0,1,75.60901996717928
10,0,0,0,0,0,1,1,1,0,0,1,0,74.21442697592003
11,1,1,1,0,1,0,1,1,0,1,0,0,82.81428029375782
12,1,0,1,1,1,1,1,0,0,0,0,0,78.47283558266919
13,0,1,1,1,1,1,1,1,1,0,1,0,91.54198120350289
14,1,0,1,0,1,1,0,1,0,1,1,1,87.18341607878104
15,0,0,0,1,1,1,1,1,0,0,0,0,74.48911970298776
16,1,0,1,1,1,0,1,0,1,0,0,0,79.04590111043616
17,1,0,0,1,0,0,0,1,1,1,0,0,74.08252265478653
18,0,1,1,0,0,0,1,1,0,1,0,1,78.49278605107867
19,0,0,1,1,0,0,1,1,0,1,1,0,78.533802327691
20,1,1,0,1,1,1,1,0,1,1,1,0,91.51733847238526
21,1,0,0,0,1,1,0,0,1,1,0,0,74.78948898443879
22,0,0,0,1,1,0,1,0,0,1,0,1,74.43137105874214
23,0,0,1,1,1,1,0,1,1,1,0,1,87.21106530932285
24,0,1,0,0,0,0,0,0,1,0,1,0,65.43314348597369
25,0,1,1,0,1,0,1,0,1,0,0,0,74.10538733870912
26,1,1,0,1,0,0,1,1,0,0,1,1,82.82882390723583
27,1,1,0,1,1,1,1,0,1,1,1,1,95.88967326579643
28,0,1,0,1,0,0,1,0,1,0,1,0,74.12402097634542
29,0,1,1,1,1,1,0,0,1,0,0,1,82.81047515505445
30,0,1,0,1,1,1,0,1,1,0,1,0,82.84743494634674
31,0,1,1,1,0,1,1,0,1,0,1,0,82.83497070676349
32,1,1,1,0,0,0,0,0,0,0,0,1,69.77946146098856
33,0,1,1,0,1,0,1,1,0,1,1,0,82.86458855149225
34,1,1,1,0,0,1,0,1,1,0,1,0,82.8113086876832
35,1,0,1,0,0,0,1,1,0,0,0,0,69.88490377459162
36,0,1,1,0,1,0,1,0,1,1,1,1,87.16532264158658
37,0,0,0,1,0,1,1,0,1,1,1,1,82.85654070268488
38,0,0,1,0,1,1,0,1,1,1,1,1,87.30484070142158
39,1,1,0,0,0,1,1,0,1,1,1,0,82.79794032475361
40,1,0,1,1,1,1,1,0,1,0,0,0,82.80809699231519
41,1,0,1,0,1,0,0,0,1,1,1,1,82.92603118838117
42,0,0,0,0,0,1,0,1,1,1,0,0,74.34470784097992
43,1,1,0,1,0,1,0,1,0,0,0,1,78.46114038743373
44,1,1,1,1,0,0,1,1,0,0,0,1,82.84232998001212
45,0,1,1,0,0,1,0,1,1,1,1,1,87.29607762814311
46,1,1,1,1,0,0,0,1,0,0,0,0,74.10595772940307
47,0,0,1,0,1,0,0,1,1,1,0,0,78.4755052407889
48,0,1,0,1,1,1,0,1,1,1,0,1,87.16422771576275
49,0,0,0,0,0,0,0,1,0,0,1,0,67.08276035743218
50,1,0,0,0,0,0,0,0,1,1,1,1,74.1567086492443
51,1,0,1,0,0,1,1,1,1,0,0,0,78.68671649958338
52,1,1,0,0,0,1,1,0,1,0,0,1,78.45568948289944
53,1,1,1,1,1,1,0,1,1,1,0,1,95.87416402490577
54,0,0,0,0,0,0,1,0,1,1,1,0,70.51198746152612
55,1,0,0,1,0,1,0,0,1,1,0,1,78.44831483681533
56,0,0,1,1,1,0,1,1,1,1,1,1,91.60653119535124
57,1,0,1,0,0,0,0,0,1,0,1,1,74.19802909787606
58,0,1,1,0,0,0,1,1,0,0,1,1,78.47265775471948
59,1,0,0,0,1,0,1,1,1,0,0,1,79.1167438529104
60,1,0,1,0,0,0,1,1,0,0,1,0,74.27008392467435
61,0,1,0,0,1,1,0,1,1,0,1,1,82.85088715537583
62,0,1,1,1,1,1,1,0,1,1,1,0,91.51234120237142
63,0,0,0,1,1,0,1,0,1,0,1,0,74.23188493080102
64,0,0,0,1,1,1,1,1,0,1,1,1,87.17899937335855
65,1,1,1,0,1,0,0,1,1,1,1,1,91.51911669138143
66,1,1,1,1,0,0,0,0,1,0,1,1,82.79587282246712
67,1,0,1,1,0,0,1,1,0,0,0,1,78.47614833691931
68,1,0,0,1,1,0,1,0,0,0,1,1,78.44380475515068
69,0,0,0,1,1,0,1,0,1,0,0,1,74.43798570165845
70,1,0,1,0,1,1,1,0,0,0,0,1,78.54192110183611
71,0,1,0,0,0,0,1,1,0,1,0,0,69.81155311769743
72,0,1,1,0,1,0,0,1,1,1,1,1,87.17369840235857
73,0,0,1,1,0,1,1,0,1,1,0,0,78.57438812449259
74,0,1,1,1,0,0,0,1,1,1,1,0,82.82089707033636
75,1,0,1,0,1,1,1,1,0,0,1,1,87.26579724657283
76,0,1,1,1,1,1,1,1,1,1,1,1,100.24102110824309
77,0,0,0,0,1,1,1,0,1,1,0,0,78.68814633128989
78,1,1,0,1,0,0,1,0,1,1,1,0,82.7970793341555
79,1,0,0,0,1,1,0,1,0,1,0,0,74.82853195109377
80,0,0,0,0,0,0,0,1,1,0,1,1,73.7422758864621
81,1,1,0,1,1,1,0,1,0,1,0,0,82.79921475503659
82,1,0,0,1,1,1,0,0,1,1,1,0,82.81031963865294
83,0,0,1,1,1,0,1,0,1,0,0,1,78.51204546970777
84,0,0,1,0,1,0,0,1,1,0,1,1,81.05105054432288
85,1,0,0,1,0,1,0,1,0,0,0,0,69.73885847110135
86,0,1,0,0,1,0,0,1,1,0,1,0,74.08213868430082
87,1,0,0,1,1,0,0,1,1,1,0,0,78.44915963699778
88,1,1,1,1,0,0,1,1,1,1,0,0,87.16672462686553
89,1,0,0,0,1,1,0,1,0,0,1,1,78.67972160806379
90,0,1,0,0,1,0,0,1,1,1,1,1,82.8204897651072
91,1,0,1,0,0,1,1,1,0,0,1,0,78.55981389807046
92,1,1,0,0,0,0,0,0,0,0,0,0,61.022760426685174
93,0,0,1,0,1,0,1,1,1,1,0,0,82.77224387244208
94,0,0,0,0,1,1,0,0,0,0,1,1,72.95079547021597
95,0,1,1,1,0,0,0,0,0,1,0,0,69.77618209324562
96,0,1,0,1,0,1,1,1,1,1,0,0,82.81413665615958
