,0,1,2,3,4,5,6,7,8,9,BIC
0,0,1,1,0,1,0,0,1,0,1,65.35359106025788
1,0,0,1,0,0,0,1,0,0,1,61.280808626473984
2,0,0,0,0,0,1,1,1,1,1,77.04433599829444
3,0,0,1,0,0,1,0,0,1,0,61.21092933659517
4,0,1,0,0,0,1,0,0,1,1,60.99576591977305
5,0,1,1,0,1,1,0,1,0,0,65.35497259170964
6,1,1,0,0,1,1,1,1,0,1,74.07638236803255
7,0,0,1,1,0,1,1,1,1,0,69.76483568380011
8,0,0,0,0,0,0,1,0,1,1,87.04236760728712
9,1,1,1,0,1,1,1,0,0,1,74.07271819317833
10,1,0,1,1,1,0,0,1,1,0,69.71312801703937
11,0,1,0,1,1,0,0,1,1,0,65.35515529622968
12,0,1,0,0,1,0,1,0,1,0,60.99636400152995
13,1,0,0,1,0,1,0,0,0,0,56.642480824577014
14,1,0,0,0,0,0,0,1,1,0,57.21740842867175
15,0,1,0,0,0,1,0,1,0,0,56.639492558331554
16,0,1,1,1,1,0,0,0,1,0,65.35515852364269
17,1,1,0,0,0,0,1,1,0,0,60.997666814374035
18,1,1,1,0,0,1,1,0,0,1,69.71075275738963
19,0,0,0,1,1,0,0,1,0,0,56.941835360846994
20,0,0,0,1,0,0,1,1,1,1,65.66038683015759
21,0,0,1,0,1,0,0,1,1,0,65.49722548456667
22,1,1,1,0,1,0,0,0,0,0,60.99696822670075
23,1,0,0,1,0,1,1,0,0,0,61.000281604395575
24,1,0,0,1,0,1,0,1,0,0,61.000707852982266
25,1,0,1,0,0,1,0,0,0,0,56.74472299811466
26,0,0,0,0,1,1,0,1,0,0,66.27594690758463
27,0,1,1,1,0,0,1,0,1,1,69.71077570295137
28,1,1,1,0,1,0,1,0,1,0,69.71117647839301
29,0,0,0,0,0,0,0,0,1,0,78.32857825881999
30,0,0,1,0,1,0,1,1,1,1,74.20999653310102
31,0,1,0,0,1,1,1,1,1,0,69.71505962595228
32,0,1,1,1,0,1,1,0,1,0,69.71265626614792
33,1,1,1,0,1,1,0,1,0,1,74.06646032656032
