Index,"r_v,v","K_v,v","r_v,ifn",d_v,"r_ifn,v",d_ifn,"r_m,ifn","k_m,ifn",d_m,n,"r_v,m",AIC,Error,DOF
0,0,0,0,0,0,0,0,0,0,0,0,51.80627368,14.90313684,11
1,0,0,0,0,0,0,0,0,0,0,1,44.37899653,10.18949827,12
2,0,0,0,0,0,0,0,0,0,1,0,46.5740965,11.28704825,12
4,0,0,0,0,0,0,0,0,1,0,0,43.13630237,9.568151187,12
8,0,0,0,0,0,0,0,1,0,0,0,46.06245928,11.03122964,12
16,0,0,0,0,0,0,1,0,0,0,0,44.16858273,10.08429137,12
32,0,0,0,0,0,1,0,0,0,0,0,45.38717183,10.69358592,12
64,0,0,0,0,1,0,0,0,0,0,0,37.22036453,6.610182267,12
128,0,0,0,1,0,0,0,0,0,0,0,43.21107432,9.605537161,12
256,0,0,1,0,0,0,0,0,0,0,0,45.5593025,10.77965125,12
512,0,1,0,0,0,0,0,0,0,0,0,43.64643435,9.823217173,12
1024,1,0,0,0,0,0,0,0,0,0,0,42.87135318,9.435676588,12
2047,1,1,1,1,1,1,1,1,1,1,1,49.74722633,2.873613166,22
