Index,"r_v,v","K_v,v","r_v,ifn",d_v,"r_ifn,v",d_ifn,"r_m,ifn","k_m,ifn",d_m,n,"r_ifn,m",AIC,Error,DOF
0,0,0,0,0,0,0,0,0,0,0,0,52.14811351,15.07405676,11
1,0,0,0,0,0,0,0,0,0,0,1,44.28896121,10.1444806,12
2,0,0,0,0,0,0,0,0,0,1,0,44.5882233,10.29411165,12
4,0,0,0,0,0,0,0,0,1,0,0,43.08053443,9.540267214,12
8,0,0,0,0,0,0,0,1,0,0,0,41.26200957,8.631004785,12
16,0,0,0,0,0,0,1,0,0,0,0,44.7295252,10.3647626,12
32,0,0,0,0,0,1,0,0,0,0,0,45.38768053,10.69384027,12
64,0,0,0,0,1,0,0,0,0,0,0,37.22561136,6.612805682,12
128,0,0,0,1,0,0,0,0,0,0,0,43.21060881,9.605304407,12
256,0,0,1,0,0,0,0,0,0,0,0,45.55957507,10.77978753,12
512,0,1,0,0,0,0,0,0,0,0,0,43.64647608,9.823238039,12
1024,1,0,0,0,0,0,0,0,0,0,0,42.87214127,9.436070633,12
2047,1,1,1,1,1,1,1,1,1,1,1,49.69051827,2.845259133,22
