Index,"r_v,v","K_v,v","r_v,ifn",d_v,"r_ifn,v",d_ifn,"r_m,ifn","k_m,ifn",d_m,n,AIC,Error,DOF
0,0,0,0,0,0,0,0,0,0,0,50.14249834,15.07124917,10
1,0,0,0,0,0,0,0,0,0,1,46.54372841,12.2718642,11
2,0,0,0,0,0,0,0,0,1,0,47.12041591,12.56020795,11
4,0,0,0,0,0,0,0,1,0,0,47.05035607,12.52517803,11
8,0,0,0,0,0,0,1,0,0,0,47.04074025,12.52037013,11
16,0,0,0,0,0,1,0,0,0,0,43.38813177,10.69406588,11
32,0,0,0,0,1,0,0,0,0,0,35.60831322,6.804156608,11
64,0,0,0,1,0,0,0,0,0,0,41.21110471,9.605552356,11
128,0,0,1,0,0,0,0,0,0,0,43.55924759,10.7796238,11
256,0,1,0,0,0,0,0,0,0,0,41.64612944,9.823064721,11
512,1,0,0,0,0,0,0,0,0,0,40.87429903,9.437149513,11
1023,1,1,1,1,1,1,1,1,1,1,46.7919714,3.395985701,20
