,0,1,2,3,4,5,6,7,8,9,fitness
0,0,0,0,0,0,0,0,0,0,0,"(70.85561855356065,)"
1,0,0,0,0,1,0,0,0,0,0,"(103.6888496158993,)"
2,0,0,0,0,0,1,0,0,0,0,"(104.89926852119007,)"
3,0,0,0,0,1,0,0,0,0,1,"(108.01962523476013,)"
4,0,0,0,0,1,0,0,0,1,0,"(108.02148172083864,)"
5,0,0,0,0,1,0,1,0,0,0,"(108.04634078480944,)"
6,0,0,0,0,1,0,0,1,0,0,"(108.04834128231738,)"
7,0,0,0,0,1,1,0,0,0,0,"(108.0533452991898,)"
8,0,0,0,1,1,0,0,0,0,0,"(108.04784322760344,)"
9,0,1,0,0,1,0,0,0,0,0,"(108.05978066035415,)"
10,1,0,0,0,1,0,0,0,0,0,"(108.04598643977553,)"
11,0,0,1,0,1,0,0,0,0,0,"(108.04693249653329,)"
12,1,0,0,0,0,1,0,0,0,0,"(109.05800555333096,)"
13,0,0,0,1,0,1,0,0,0,0,"(109.16266497402273,)"
14,0,1,0,0,0,1,0,0,0,0,"(109.19067143380704,)"
15,0,0,0,0,0,1,0,0,1,0,"(109.24155149244726,)"
16,0,0,1,0,0,1,0,0,0,0,"(109.24347548892507,)"
17,0,0,0,0,0,1,0,0,0,1,"(109.24770815706384,)"
18,0,0,0,0,0,1,0,1,0,0,"(109.26337969215501,)"
19,0,0,0,0,0,1,1,0,0,0,"(109.26186663778256,)"
20,1,0,0,0,0,0,0,0,0,0,"(109.9148077645716,)"
21,0,0,0,1,0,0,0,0,0,0,"(109.96367110112246,)"
22,0,1,0,0,0,0,0,0,0,0,"(110.0424743756626,)"
23,0,0,1,0,0,0,0,0,0,0,"(110.79996345693397,)"
24,0,0,0,0,1,0,0,1,0,1,"(112.36425378631169,)"
25,0,0,0,0,1,0,1,0,0,1,"(112.36392113581641,)"
26,0,0,0,0,1,0,0,1,1,0,"(112.37609837278643,)"
27,0,0,0,0,1,0,1,0,1,0,"(112.37465396923716,)"
28,0,0,0,0,1,1,0,0,0,1,"(112.37735000768689,)"
29,0,1,0,0,1,0,0,0,0,1,"(112.37761961815961,)"
30,0,0,1,0,1,0,0,0,0,1,"(112.37720770566455,)"
31,1,0,0,0,1,0,0,0,0,1,"(112.38047137923266,)"
32,0,0,0,1,1,0,0,0,0,1,"(112.37707659883387,)"
33,0,0,0,0,1,1,0,0,1,0,"(112.38177227716076,)"
34,0,0,1,0,1,0,0,0,1,0,"(112.38087257078521,)"
35,0,0,0,1,1,0,0,0,1,0,"(112.37963378538548,)"
36,0,1,0,0,1,0,0,0,1,0,"(112.37985543990527,)"
37,0,0,0,0,1,0,0,0,1,1,"(112.37805345880594,)"
38,1,0,0,0,1,0,0,0,1,0,"(112.38006869053527,)"
39,0,1,0,0,1,0,0,1,0,0,"(112.39040266633549,)"
40,0,0,1,0,1,0,0,1,0,0,"(112.41602810437854,)"
41,1,0,0,0,1,0,1,0,0,0,"(112.39505424416862,)"
42,0,0,0,1,1,0,1,0,0,0,"(112.39244427912024,)"
43,0,0,0,0,1,1,1,0,0,0,"(112.39842413997775,)"
44,0,1,0,0,1,0,1,0,0,0,"(112.40366236525284,)"
45,0,0,0,1,1,0,0,1,0,0,"(112.39536568904217,)"
46,0,0,0,0,1,0,1,1,0,0,"(112.40798396773056,)"
47,1,0,0,0,1,0,0,1,0,0,"(112.39837640996092,)"
48,0,0,1,0,1,0,1,0,0,0,"(112.38739038631846,)"
49,0,0,0,0,1,1,0,1,0,0,"(112.39775931657974,)"
50,0,0,0,1,1,1,0,0,0,0,"(112.40339924356877,)"
51,0,0,1,1,1,0,0,0,0,0,"(112.34679745904131,)"
52,0,1,1,0,1,0,0,0,0,0,"(112.40815183294127,)"
53,1,0,1,0,1,0,0,0,0,0,"(112.41215475443065,)"
54,0,0,1,0,1,1,0,0,0,0,"(112.41439614182684,)"
55,1,0,0,0,1,1,0,0,0,0,"(112.41708643708479,)"
56,1,0,0,1,1,0,0,0,0,0,"(112.40123405898669,)"
57,0,1,0,0,1,1,0,0,0,0,"(112.40562849876673,)"
58,1,1,0,0,1,0,0,0,0,0,"(112.4095919539599,)"
59,0,1,0,1,1,0,0,0,0,0,"(112.40592757663256,)"
60,0,0,0,0,0,0,1,0,0,0,"(113.02960794498941,)"
61,0,0,0,0,0,0,0,0,0,1,"(113.02120302532633,)"
62,0,0,0,0,0,0,0,0,1,0,"(113.02619588897149,)"
63,0,0,0,0,0,0,0,1,0,0,"(113.01733267621239,)"
64,1,1,0,0,0,1,0,0,0,0,"(113.3729941022897,)"
65,1,0,1,0,0,1,0,0,0,0,"(113.38158677885646,)"
66,1,0,0,1,0,1,0,0,0,0,"(113.37662662472603,)"
67,0,1,0,1,0,1,0,0,0,0,"(113.38528172697946,)"
68,1,0,0,0,0,1,0,0,1,0,"(113.39315845416016,)"
69,1,0,0,0,0,1,0,0,0,1,"(113.39595549252482,)"
70,0,0,1,1,0,1,0,0,0,0,"(113.42264911652994,)"
71,1,0,0,0,0,1,1,0,0,0,"(113.43929364844513,)"
72,1,0,0,0,0,1,0,1,0,0,"(113.43547152425097,)"
73,0,1,1,0,0,1,0,0,0,0,"(113.46129981742938,)"
74,0,0,0,1,0,1,0,0,1,0,"(113.50305687278833,)"
75,0,0,0,1,0,1,0,0,0,1,"(113.50641191051918,)"
76,0,1,0,0,0,1,0,0,1,0,"(113.52658479114564,)"
77,0,1,0,0,0,1,0,0,0,1,"(113.52970669116496,)"
78,0,0,0,1,0,1,1,0,0,0,"(113.52334573235163,)"
79,0,0,0,1,0,1,0,1,0,0,"(113.51974123172138,)"
80,0,0,1,0,0,1,0,0,1,0,"(113.58473663481932,)"
81,0,1,0,0,0,1,0,1,0,0,"(113.52507642556009,)"
82,0,1,0,0,0,1,1,0,0,0,"(113.54217939681588,)"
83,0,0,0,0,0,1,1,0,0,1,"(113.55825215270511,)"
84,0,0,0,0,0,1,0,1,1,0,"(113.56817780878686,)"
85,0,0,0,0,0,1,0,1,0,1,"(113.56668072288883,)"
86,0,0,1,0,0,1,0,0,0,1,"(113.58940066004857,)"
87,0,0,0,0,0,1,0,0,1,1,"(113.59662983076407,)"
88,0,0,1,0,0,1,0,1,0,0,"(113.60699684187747,)"
89,0,0,1,0,0,1,1,0,0,0,"(113.61600577477462,)"
90,0,0,0,0,0,1,1,1,0,0,"(113.62096978665389,)"
91,1,0,1,0,0,0,0,0,0,0,"(114.26717909886568,)"
92,1,0,0,0,0,0,0,0,0,1,"(114.27860686501735,)"
93,1,0,0,1,0,0,0,0,0,0,"(114.27223737779521,)"
94,0,1,0,1,0,0,0,0,0,0,"(114.26995427438167,)"
95,1,1,0,0,0,0,0,0,0,0,"(114.27176844816559,)"
96,1,0,0,0,0,0,0,1,0,0,"(114.28987658999107,)"
97,1,0,0,0,0,0,0,0,1,0,"(114.27351366369427,)"
98,1,0,0,0,0,0,1,0,0,0,"(114.29320785903349,)"
99,0,0,1,1,0,0,0,0,0,0,"(114.29591024894654,)"
